S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
180,homm9k,ХОМЯК,44.4M,3.8M,489.8K,3.6K,1.1K,44.4,3.8,0.4898,3600.0,1100.0
181,dobretwins,Lucas and Marcus,36.2M,4.8M,453.1K,2.8K,1.1K,36.2,4.8,0.4531,2800.0,1100.0
182,jacksepticeye,Jacksepticeye,4.9M,2.3M,559.8K,3.8K,2.7K,4.9,2.3,0.5598,3800.0,2700.0
183,franckfs,Franck Farfán FS,5.7M,4.9M,330.9K,1K,4.1K,5.7,4.9,0.33089999999999997,1000.0,4100.0
184,iamdtg,DTG,1.2M,2.2M,251.9K,2.2K,12.9K,1.2,2.2,0.2519,2200.0,12900.0
185,jihansalsabila44,Jihan Salsabila,1.6M,2.7M,366.4K,3.6K,4.5K,1.6,2.7,0.3664,3600.0,4500.0
186,brentrivera,Brent Rivera,44.9M,4.9M,574.4K,2K,813,44.9,4.9,0.5744,2000.0,813.0
187,rayandmadalyn,Ray & Madalyn,1.1M,3.6M,496.1K,1.8K,2.6K,1.1,3.6,0.49610000000000004,1800.0,2600.0
188,nessaabarrett,Ness,19.4M,4M,420.5K,2.7K,2K,19.4,4.0,0.4205,2700.0,2000.0
189,leanadeeb,Leana Deeb,10.4M,3.9M,573.5K,1.3K,2.1K,10.4,3.9,0.5735,1300.0,2100.0
190,just.hamilton,Just Hamilton,2.9M,2.3M,371.1K,1.9K,7K,2.9,2.3,0.37110000000000004,1900.0,7000.0
191,wilmah10,wilmah10,6.3K,2.9M,208.2K,2.7K,9.9K,0.0063,2.9,0.2082,2700.0,9900.0
192,official_kep1er,Kep1er,4.8M,2.7M,518.5K,3.6K,1.7K,4.8,2.7,0.5185,3600.0,1700.0
193,loicsuberville,Loïc Suberville,2.4M,2.4M,458.1K,1.6K,5.2K,2.4,2.4,0.4581,1600.0,5200.0
194,lana_mohd89,𝑳𝑨𝑵𝑨 🦋,5.7M,4.1M,293.4K,3.7K,2.6K,5.7,4.1,0.2934,3700.0,2600.0
195,bigtugg,Tucker Lindgren,1.3M,2M,444K,3.1K,5.3K,1.3,2.0,0.444,3100.0,5300.0
196,jvke,JVKE,7.7M,3.7M,582.2K,2.1K,1.3K,7.7,3.7,0.5822,2100.0,1300.0
197,bayashi.tiktok,バヤシ🥑Bayashi,33.6M,4.4M,492K,2.6K,786,33.6,4.4,0.492,2600.0,786.0
198,bilalahy,Bilal,3.5M,2.2M,492K,1.9K,4.7K,3.5,2.2,0.492,1900.0,4700.0
199,spicyycam_,Spice King,19.5M,4.2M,414.1K,2.8K,1.3K,19.5,4.2,0.4141,2800.0,1300.0
200,duythamchannel,Duy Thẩm,4M,5M,492.5K,2.2K,708,4.0,5.0,0.4925,2200.0,708.0
201,fedevigevani,Fede Vigevani,14.6M,4M,457.2K,2.7K,1.1K,14.6,4.0,0.4572,2700.0,1100.0
202,korectiion,Iam Cleo,390.5K,3M,376.8K,4.3K,1.7K,0.3905,3.0,0.3768,4300.0,1700.0
203,theovon,Theo Von,2.7M,3.1M,320.8K,1.1K,5.6K,2.7,3.1,0.32080000000000003,1100.0,5600.0
204,dafnnejm,dafnne ☻,3.8M,3.7M,667.9K,1.4K,1.3K,3.8,3.7,0.6678999999999999,1400.0,1300.0
205,boomershroomer,Ashley Enders,63.8K,4.1M,286.4K,2.4K,3.2K,0.0638,4.1,0.2864,2400.0,3200.0
206,abir.sag,Abir el saghir,14.7M,4.3M,302.8K,2.8K,2.3K,14.7,4.3,0.3028,2800.0,2300.0
207,iamprisleeciyi,Priscilla ◡̈,13.9K,2.3M,522.9K,1.2K,4.2K,0.013900000000000001,2.3,0.5229,1200.0,4200.0
208,mikaylahau,Mikaylah,4.9M,3.6M,313.5K,4.6K,1.1K,4.9,3.6,0.3135,4600.0,1100.0
209,ranboolive,Ranboo,4.3M,1.8M,414.8K,7K,1.6K,4.3,1.8,0.4148,7000.0,1600.0
210,fadiljaidi,Fadil Jaidi,8.7M,3.5M,390.7K,2.9K,1.8K,8.7,3.5,0.3907,2900.0,1800.0
211,diiegospyckerzs,Diiego Spyckerzs,808.5K,2.8M,154.5K,3K,11.8K,0.8085,2.8,0.1545,3000.0,11800.0
212,sonyakisa8,Cat Sonya,17.4M,3.5M,287.7K,1K,5.3K,17.4,3.5,0.2877,1000.0,5300.0
213,dbl_n,DBL N officiel 👑🔥🇹🇳,2.2M,3.6M,392.9K,2.4K,2.1K,2.2,3.6,0.39289999999999997,2400.0,2100.0
214,gavincasalegno,GavinCasalegno,3.2M,2.2M,394.7K,5.3K,1.9K,3.2,2.2,0.3947,5300.0,1900.0
215,gordeewa__13,gordeewa__13 :>,12.7M,5.4M,293.7K,3.2K,722,12.7,5.4,0.29369999999999996,3200.0,722.0
216,guide_smis,ไกค์ 'สมิท,275.7K,13.1M,299.2K,435,1.2K,0.2757,13.1,0.29919999999999997,435.0,1200.0
217,lucasmonteirosg,Lucas Monteiro,486.9K,3.8M,469.4K,1.8K,1.7K,0.4869,3.8,0.4694,1800.0,1700.0
218,dasigantung,Dasi Gantung,5.9M,4.6M,648.5K,842,1.3K,5.9,4.6,0.6485,842.0,1300.0
219,vanessalopesr,Vanessa Lopes,25.2M,3.4M,327.8K,3.6K,1.9K,25.2,3.4,0.32780000000000004,3600.0,1900.0
220,alexitoxedits,ALEX <3,2.9M,1.6M,467.1K,3.9K,4.4K,2.9,1.6,0.4671,3900.0,4400.0
221,bretmanrock,bretmanrock,14.4M,2.9M,599.9K,2K,1.4K,14.4,2.9,0.5999,2000.0,1400.0
222,brodywellmaker,Brody Wellmaker,21.6M,3M,430.3K,3.6K,1K,21.6,3.0,0.4303,3600.0,1000.0
223,jamescharles,James Charles,36.9M,4.2M,356.4K,2.9K,1.1K,36.9,4.2,0.3564,2900.0,1100.0
224,pablitocastilloo,pablitocastilloo,5.8M,2M,234.7K,1.8K,10.8K,5.8,2.0,0.2347,1800.0,10800.0
225,jindaouis,Louisa Jindaoui,2M,3.4M,492.2K,1.6K,1.9K,2.0,3.4,0.49219999999999997,1600.0,1900.0
226,readyfredi,fredi pärs,3.2M,1.6M,364K,3.8K,6.6K,3.2,1.6,0.364,3800.0,6600.0
227,ive.official,IVE.official,3M,2.4M,355.6K,4.1K,2.7K,3.0,2.4,0.3556,4100.0,2700.0
228,hannahbahng,hannahbahng,2.4M,1.7M,479.4K,5.8K,1.3K,2.4,1.7,0.4794,5800.0,1300.0
229,realnikocadoavocado,Nikocado Avocado,1.7M,3.4M,131K,6.9K,6K,1.7,3.4,0.131,6900.0,6000.0
230,_andrewcurtiss,Andrew Curtis,2.8M,2M,341.9K,5.5K,2.9K,2.8,2.0,0.3419,5500.0,2900.0
231,datvilla94,🔥Đạt Villa🔥,6.9M,2.7M,192K,8.6K,2.6K,6.9,2.7,0.192,8600.0,2600.0
232,santiperezvivas,Santi Perez,1.8M,2.5M,418.3K,1.8K,3.8K,1.8,2.5,0.4183,1800.0,3800.0
233,sucss.s,Açucena Guirra,11.5M,3.2M,539.9K,2.5K,755,11.5,3.2,0.5398999999999999,2500.0,755.0
234,thalita_karter,thalitaKarter,3.9M,3.4M,200.2K,1.2K,6.9K,3.9,3.4,0.2002,1200.0,6900.0
235,davidcstt_,David Costa,5.3M,3.5M,480.5K,1.9K,1.4K,5.3,3.5,0.4805,1900.0,1400.0
236,strangehumano,nova,10.4M,3.8M,400.8K,2.4K,1.1K,10.4,3.8,0.4008,2400.0,1100.0
237,gregisms,Gregisms’ Neighborhood,2.4M,1.4M,235.8K,4.3K,12.3K,2.4,1.4,0.2358,4300.0,12300.0
238,matheuscllaus,CLAUS,5.4M,2.7M,340.1K,2.3K,3.7K,5.4,2.7,0.3401,2300.0,3700.0
239,halinhofficial,Ha Linh Official,2.7M,4.1M,346.5K,2.4K,1.4K,2.7,4.1,0.3465,2400.0,1400.0
