S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
517,outtpig,OuttPig,2.1M,1.5M,341K,1.6K,1.7K,2.1,1.5,0.341,1600.0,1700.0
518,rosssmith,Ross Smith,22.9M,1.5M,156.1K,927,6.3K,22.9,1.5,0.1561,927.0,6300.0
519,glencachysaraofficial,glenca chysara,8.1M,4.5M,212.3K,1.3K,522,8.1,4.5,0.21230000000000002,1300.0,522.0
520,pumatheweirdo,Cat Puma,2.4M,1.5M,183K,722,5.5K,2.4,1.5,0.183,722.0,5500.0
521,twinsjne,Twinsjne 🍓,1.1M,2.4M,486.9K,783,665,1.1,2.4,0.4869,783.0,665.0
522,andcarli,Andcarli,11.7M,6.3M,212.2K,684,578,11.7,6.3,0.2122,684.0,578.0
523,mclivinho,Mc Livinho,4M,2.2M,312.2K,1.4K,1K,4.0,2.2,0.3122,1400.0,1000.0
524,mrmilothechonk,Erika and Milo,2.1M,1.5M,313.6K,1.3K,2.2K,2.1,1.5,0.31360000000000005,1300.0,2200.0
525,kimmigneault,Kim Migneault,7.1M,3.1M,358.7K,539,971,7.1,3.1,0.35869999999999996,539.0,971.0
526,unnecessaryinventions,Unnecessary Inventions,5.3M,2.4M,377.9K,1.4K,451,5.3,2.4,0.37789999999999996,1400.0,451.0
527,hunterprosper,Hunter Prosper,5.1M,1.7M,320.8K,1K,2.1K,5.1,1.7,0.32080000000000003,1000.0,2100.0
528,bulochkapelmen,BULOCHKA🇨🇳🇺🇦,3M,2.9M,184.8K,1.9K,1.2K,3.0,2.9,0.18480000000000002,1900.0,1200.0
529,louka__m,Louka,2.5M,1.9M,354.3K,1.2K,1.4K,2.5,1.9,0.3543,1200.0,1400.0
530,folz.aa,folz.a,1.2M,1.1M,192.3K,1.8K,6K,1.2,1.1,0.1923,1800.0,6000.0
531,iloveyourmomscatt,,8.2K,1.3M,159.3K,4.9K,3.3K,0.008199999999999999,1.3,0.15930000000000002,4900.0,3300.0
532,austinandlexi,⚡️Austin & Lexi 💥,4M,1.8M,332.6K,1.1K,1.7K,4.0,1.8,0.3326,1100.0,1700.0
533,lehvideira,Lethicia Videira,7.8M,903.6K,145.1K,1.7K,10.8K,7.8,0.9036000000000001,0.1451,1700.0,10800.0
534,nathalieholscher14,Nathalie Holscher,7.2M,3.5M,295.7K,936,647,7.2,3.5,0.29569999999999996,936.0,647.0
535,sa_h700,صالح السبير✨,417.4K,2M,201.7K,1.6K,2.5K,0.4174,2.0,0.2017,1600.0,2500.0
536,ayanakamachi,中町綾,1.5M,3M,204.2K,1.1K,1.6K,1.5,3.0,0.2042,1100.0,1600.0
537,sebasmorenooo,Sebastian Moreno 📸,5.1M,3.3M,293.7K,1.4K,300,5.1,3.3,0.29369999999999996,1400.0,300.0
538,larrayeeee,LARRAY,26.3M,2M,351.2K,2K,364,26.3,2.0,0.3512,2000.0,364.0
539,le_general_416,tonton G 🇫🇷,2.3M,4.7M,214.7K,762,847,2.3,4.7,0.2147,762.0,847.0
540,everett,Everett Noble,10M,1.9M,441.4K,768,1.2K,10.0,1.9,0.44139999999999996,768.0,1200.0
541,mcsilsiloficial,@mcsilsiloficial,7.2M,1.6M,123.3K,2.5K,6K,7.2,1.6,0.12329999999999999,2500.0,6000.0
542,alezha.obukhov,Алежа Обухов,1.3M,2.6M,309.2K,1.1K,851,1.3,2.6,0.3092,1100.0,851.0
543,dermdoctor,DermDoctor | Dr. Shah,16.6M,3.5M,248.6K,1K,826,16.6,3.5,0.2486,1000.0,826.0
544,abbycasselberry,Abby Casselberry,1.9M,1.8M,348.3K,1K,1.6K,1.9,1.8,0.3483,1000.0,1600.0
545,annapep3,ANNA,1M,1.7M,337.1K,1.3K,1.5K,1.0,1.7,0.3371,1300.0,1500.0
546,fabru_blacutt,Fabru,18.1M,2.2M,242.9K,2.4K,562,18.1,2.2,0.2429,2400.0,562.0
547,songsforlittles,Ms Rachel,1.1M,2.6M,187.5K,1.6K,1.7K,1.1,2.6,0.1875,1600.0,1700.0
548,marktilbury,Mark Tilbury - YouTuber & CEO,7.2M,2.3M,224.5K,620,2.4K,7.2,2.3,0.2245,620.0,2400.0
549,georainbolt,georainbolt,1.2M,1.5M,247.1K,2K,2.3K,1.2,1.5,0.2471,2000.0,2300.0
550,navacarlosss,Carlos Navarro 🥇,131.3K,1.7M,98.8K,353,8.9K,0.1313,1.7,0.0988,353.0,8900.0
551,lagranjadelborrego,La granja del borrego,11.1M,3M,349.9K,919,581,11.1,3.0,0.3499,919.0,581.0
552,morimura,MoriMura🍕,8.4M,1.5M,315.4K,1.5K,1.8K,8.4,1.5,0.31539999999999996,1500.0,1800.0
553,oliviadearlove2,olivia-2002,17.4K,3M,175.9K,1.6K,1.3K,0.0174,3.0,0.1759,1600.0,1300.0
554,eltonjohn,Elton John,2.1M,2.8M,66.8K,2K,6.2K,2.1,2.8,0.0668,2000.0,6200.0
555,conormaynard,Conor Maynard,6.8M,1.7M,160.4K,2.5K,3.1K,6.8,1.7,0.16040000000000001,2500.0,3100.0
556,duncanyounot,Duncan Joseph,4.3M,1.4M,366.5K,1.3K,1.7K,4.3,1.4,0.3665,1300.0,1700.0
557,jrizzyjeremy,jrizzyjeremy,69.1K,3.1M,225.2K,768,1.4K,0.0691,3.1,0.22519999999999998,768.0,1400.0
558,ahmadmahroom99,Ahmad Mahroom,1.3M,3.3M,143.5K,923,2.3K,1.3,3.3,0.1435,923.0,2300.0
559,avascreams,ava,705K,1.2M,372.6K,2.8K,639,0.705,1.2,0.37260000000000004,2800.0,639.0
560,erijasjas,Jasel,597.9K,1.8M,385.5K,685,1.5K,0.5979,1.8,0.3855,685.0,1500.0
561,artistliilz_,Liilz 🚀,342.6K,1.6M,240K,2.9K,973,0.3426,1.6,0.24,2900.0,973.0
562,willian99music,ᴡ 99 ᴍ ☊,720.3K,1.6M,143.5K,188,6.3K,0.7202999999999999,1.6,0.1435,188.0,6300.0
563,cauamacedo,Cauã Macedo,11.4M,1.6M,231K,2.9K,1.1K,11.4,1.6,0.231,2900.0,1100.0
564,sabrenorris,Sabre Norris,3.6M,1.8M,186.9K,4.1K,329,3.6,1.8,0.1869,4100.0,329.0
565,youshi_maru,ゆうしまる,83.6K,1.9M,145.2K,1.1K,4.4K,0.0836,1.9,0.1452,1100.0,4400.0
566,mdrr05,👻مروان ٱلبآتني🇩🇿,3M,3M,112.6K,1.4K,2.9K,3.0,3.0,0.11259999999999999,1400.0,2900.0
567,deandreee,DeAndre,1.9M,1.9M,315.1K,826,1.6K,1.9,1.9,0.31510000000000005,826.0,1600.0
568,werenotreallystrangers,WNRS,4.4M,1.7M,329.5K,1.5K,1.2K,4.4,1.7,0.3295,1500.0,1200.0
569,poki,pokimane,6.3M,2.3M,234.8K,2.1K,667,6.3,2.3,0.2348,2100.0,667.0
570,zbor0vska,Zborovska,1.1M,1.9M,288.9K,1.4K,1.3K,1.1,1.9,0.2889,1400.0,1300.0
571,7odzz,7oda Eino🔥😵,4.5M,2.2M,162.7K,1.6K,2.5K,4.5,2.2,0.16269999999999998,1600.0,2500.0
572,roportajadam,Mahsun Karaca,1.1M,2.1M,125.4K,411,5.1K,1.1,2.1,0.1254,411.0,5100.0
573,nadirdearabier,Nadirdearabier,1.1M,2.1M,185.1K,3K,694,1.1,2.1,0.1851,3000.0,694.0
574,aydenmekus,AYDEN MEKUS,11.5M,2.1M,204.7K,2.9K,491,11.5,2.1,0.2047,2900.0,491.0
575,thegnshow,The Graham Norton Show,1.7M,2.9M,287.8K,421,1.3K,1.7,2.9,0.2878,421.0,1300.0
576,ladydianka,LADY BUNNY🐰,9.1M,1.5M,189.9K,3.4K,1.6K,9.1,1.5,0.1899,3400.0,1600.0
577,skuratof,Anton Skuratov,623.2K,1.8M,151.3K,793,4.4K,0.6232000000000001,1.8,0.15130000000000002,793.0,4400.0
578,saray.____,Saray,67.9K,1.4M,85.6K,2.7K,9.4K,0.0679,1.4,0.0856,2700.0,9400.0
579,kieram.litchfield,Kieram Litchfield,2.2M,1.4M,190.8K,2.6K,2.8K,2.2,1.4,0.19080000000000003,2600.0,2800.0
580,laurence_benson,Laurence Benson,2.1M,2.9M,293K,1.4K,240,2.1,2.9,0.293,1400.0,240.0
581,mohamed.hesham.official,محمد هشام,563.5K,1.5M,43.7K,380,21.1K,0.5635,1.5,0.0437,380.0,21100.0
582,jaywheeler,Jay Wheeler,5.4M,1.6M,249.8K,856,2.7K,5.4,1.6,0.24980000000000002,856.0,2700.0
583,itsmatheuscosta,Matheus Costa,5M,1.4M,205.8K,2K,2.8K,5.0,1.4,0.2058,2000.0,2800.0
584,soanhvadiephihi,Soanh x Diệp,3.1M,3.1M,328.4K,864,533,3.1,3.1,0.32839999999999997,864.0,533.0
585,roadrunnerpete,Pete 1k,72.2K,926.4K,151.6K,2K,8K,0.0722,0.9264,0.15159999999999998,2000.0,8000.0
586,danivallem,Dani Valle,4.8M,1.2M,86.3K,963,12.4K,4.8,1.2,0.0863,963.0,12400.0
587,com.hyuga1117,【コムドット】 ひゅうが,1.1M,1.5M,165.8K,4.7K,993,1.1,1.5,0.1658,4700.0,993.0
588,jasonderulo,Jason Derulo,53M,6.8M,186.9K,887,194,53.0,6.8,0.1869,887.0,194.0
589,bilalfadilii,Bilal Fadili,1.3M,1.6M,190.5K,2K,2.6K,1.3,1.6,0.1905,2000.0,2600.0
590,mandrake1984real,Giuseppe Mandrake Ninno,1.3M,1.4M,170.3K,891,4.9K,1.3,1.4,0.1703,891.0,4900.0
591,kerri_okie,Kerri,3.1M,1.1M,137.3K,4.8K,4.3K,3.1,1.1,0.1373,4800.0,4300.0
592,championsleague,Champions League,16M,2.3M,293.5K,823,1.2K,16.0,2.3,0.2935,823.0,1200.0
593,luvjunior14,j ❤️,560.3K,1.6M,432.8K,1.4K,610,0.5602999999999999,1.6,0.4328,1400.0,610.0
594,sallyalawady1,Sally Alawady,4.1M,3.4M,187.8K,1.7K,446,4.1,3.4,0.18780000000000002,1700.0,446.0
595,felipenpv,Felipe Paiva,3.5M,1.7M,259.6K,1.8K,1.3K,3.5,1.7,0.2596,1800.0,1300.0
596,neitor.exe,Neitor,2.9M,2M,307.8K,1.6K,709,2.9,2.0,0.3078,1600.0,709.0
597,camilo,Camilo,28.8M,2.4M,275.9K,567,1.5K,28.8,2.4,0.2759,567.0,1500.0
598,thelondoncharles,London Charles,6M,1.7M,374.9K,1.4K,751,6.0,1.7,0.37489999999999996,1400.0,751.0
599,keemokazi,KEEMOKAZI,30.1M,2.8M,351.9K,1.1K,258,30.1,2.8,0.3519,1100.0,258.0
600,frantastiktok,Fran Carneros,1.5M,2.1M,458.4K,587,807,1.5,2.1,0.4584,587.0,807.0
601,elissadeheart,Elissa DeHeart,2.3M,2M,292.4K,974,1.3K,2.3,2.0,0.2924,974.0,1300.0
602,soulzang,نظام,293.5K,796.6K,218.3K,2K,5.7K,0.2935,0.7966,0.21830000000000002,2000.0,5700.0
603,sweeettails,SweeetTails,2.8M,1.4M,164.4K,828,5K,2.8,1.4,0.16440000000000002,828.0,5000.0
604,kane,kane,3.2M,1.8M,221.8K,1.3K,2K,3.2,1.8,0.22180000000000002,1300.0,2000.0
605,dreamlifex0,🧚 ✨Dream life✨,569.2K,1.2M,134.1K,5.3K,2.7K,0.5692,1.2,0.1341,5300.0,2700.0
606,omahi.tiktok,OMAHI,14.7M,3.5M,391.9K,777,188,14.7,3.5,0.39189999999999997,777.0,188.0
607,tsezy,Tommy,4.8M,2M,253.5K,1.9K,735,4.8,2.0,0.2535,1900.0,735.0
608,albertinasacaca1,Albertina Sacaca Cal,6.5M,2.6M,241.7K,1.6K,505,6.5,2.6,0.2417,1600.0,505.0
609,brilionaire,model kentang🍟,4.4M,2.2M,229.4K,612,2K,4.4,2.2,0.2294,612.0,2000.0
610,wigofellas,wigofellas,34.4M,2.6M,158.9K,1.9K,1.2K,34.4,2.6,0.1589,1900.0,1200.0
611,_.anime.edits_0,video,97K,1.7M,75.6K,1.5K,8.7K,0.097,1.7,0.0756,1500.0,8700.0
612,christianfabiannn,Christian Fabian,13.4M,2.2M,311.9K,1.8K,130,13.4,2.2,0.31189999999999996,1800.0,130.0
613,gzfoodqood,Foodqood by Giallozafferano,18.5M,4.3M,213.3K,412,1K,18.5,4.3,0.21330000000000002,412.0,1000.0
614,thephysicshouse,The Physics House,592.4K,1.8M,307.7K,1.9K,507,0.5923999999999999,1.8,0.3077,1900.0,507.0
615,benedictpolizzi,benedict polizzi,2M,3.6M,360.2K,230,775,2.0,3.6,0.36019999999999996,230.0,775.0
616,main_and_aseel,Main & Aseel,1.3M,3M,178.1K,1.4K,1.1K,1.3,3.0,0.17809999999999998,1400.0,1100.0
617,ahmedhelmy,Ahmed Helmy,7M,2.6M,184.4K,952,1.8K,7.0,2.6,0.1844,952.0,1800.0
618,analisseworld,Analisseworld,10.4M,1.9M,358.6K,652,1.3K,10.4,1.9,0.35860000000000003,652.0,1300.0
619,zoecolletti,Zoe Colletti,2.2M,1.8M,209.7K,3K,429,2.2,1.8,0.2097,3000.0,429.0
620,k4554ndr4,kassandra 🪐,978K,1M,280.4K,1.8K,2.7K,0.978,1.0,0.2804,1800.0,2700.0
621,kenchanachaisit,Ken Chanachai,405.8K,2M,184.6K,1.4K,2.1K,0.4058,2.0,0.1846,1400.0,2100.0
622,sidaivan,sdvn,89.8K,2.3M,149.9K,2.2K,1.5K,0.08979999999999999,2.3,0.1499,2200.0,1500.0
623,mrcaqui,Facundo Izquierdo,6.8M,978K,264.5K,833,4.1K,6.8,0.978,0.2645,833.0,4100.0
624,rubxnillo,Rubenillo,508.1K,3.8M,279K,282,925,0.5081,3.8,0.279,282.0,925.0
625,com.yamato0515,【コムドット】やまと,1.9M,1.2M,176.4K,4.3K,1.7K,1.9,1.2,0.1764,4300.0,1700.0
626,brentfordfc,Brentford FC,1.2M,1.9M,252.3K,1.6K,1.1K,1.2,1.9,0.2523,1600.0,1100.0
627,dede_harlan_,Dede Harlan,295.6K,957.7K,228.1K,1.9K,3.8K,0.29560000000000003,0.9577,0.2281,1900.0,3800.0
628,yurinya1128,ゆりにゃ,647.3K,2.3M,162.3K,2.5K,787,0.6473,2.3,0.1623,2500.0,787.0
629,hannahkelekacook,Hannah & Regal,3.3M,1.7M,231.8K,2.7K,444,3.3,1.7,0.2318,2700.0,444.0
630,marilynl19,user1692838440296,995.2K,1.1M,162.3K,4.4K,2.5K,0.9952000000000001,1.1,0.1623,4400.0,2500.0
631,dixiedamelio,dixie,57.4M,2.4M,220.5K,1.9K,424,57.4,2.4,0.2205,1900.0,424.0
632,somi_official_,JEON SOMI,7M,1.5M,329.6K,2K,496,7.0,1.5,0.3296,2000.0,496.0
633,leanbeefpatty,Patty,5.8M,1.8M,277.7K,1.5K,1K,5.8,1.8,0.2777,1500.0,1000.0
634,viki_tory88,Вика & Женя,310.6K,1.9M,48.8K,208,12.9K,0.31060000000000004,1.9,0.048799999999999996,208.0,12900.0
635,jakekrantz,Jake Krantz,2.2M,1.3M,261.9K,701,3K,2.2,1.3,0.26189999999999997,701.0,3000.0
636,momonatamada,Momona Tamada,4.4M,1.7M,359.3K,1.8K,279,4.4,1.7,0.3593,1800.0,279.0
637,bankkamo46_,bankkamo46_🦖,1.3M,1.5M,204.7K,1.1K,3K,1.3,1.5,0.2047,1100.0,3000.0
638,surthycooks,Surthany hejeij,9.5M,2.5M,273.6K,1.4K,353,9.5,2.5,0.2736,1400.0,353.0
639,sofiaespanha,sofia espanha,4.6M,1.9M,284.8K,1.3K,996,4.6,1.9,0.2848,1300.0,996.0
640,waspycraft1,Waspycraft,194.4K,2.3M,188.6K,922,1.9K,0.19440000000000002,2.3,0.1886,922.0,1900.0
641,michou_yt,Michou,7.4M,2.4M,266.7K,1.5K,341,7.4,2.4,0.2667,1500.0,341.0
642,rachsullivan__,Rach Sullivan,1.5M,2M,370.2K,739,927,1.5,2.0,0.3702,739.0,927.0
643,piperrockelle,♥️Piper Rockelle♠️,10.4M,1.9M,158.4K,3.6K,543,10.4,1.9,0.1584,3600.0,543.0
644,elmercanchi,Que chimba sog,1.8M,1.9M,138.2K,691,3.9K,1.8,1.9,0.1382,691.0,3900.0
645,danielzencon,Daniel Zenteno Const,36.6K,1.2M,174.3K,1.1K,4.6K,0.0366,1.2,0.1743,1100.0,4600.0
646,dennysumargoreal,DENNY SUMARGO,3.3M,3.5M,187.2K,1.4K,386,3.3,3.5,0.18719999999999998,1400.0,386.0
647,jakeandrich,Jake Andrich / Jakipz,14.6M,2.1M,164.2K,1.6K,1.9K,14.6,2.1,0.16419999999999998,1600.0,1900.0
648,andreluizframbach,André Luiz Frambach,1.4M,3.6M,216.2K,285,1.3K,1.4,3.6,0.21619999999999998,285.0,1300.0
649,6666pd,666,285.7K,924.5K,153.3K,422,7.9K,0.2857,0.9245,0.15330000000000002,422.0,7900.0
650,skaijackson,Skai Jackson 🥰,20.1M,2.1M,441.5K,899,372,20.1,2.1,0.4415,899.0,372.0
651,nickrowedder,Nicoly Amanda Rowedder,457.7K,1M,264.3K,1.7K,2.7K,0.4577,1.0,0.26430000000000003,1700.0,2700.0
652,esneni,Stefano Da Cunha,4.4M,1.4M,283.1K,2.5K,477,4.4,1.4,0.2831,2500.0,477.0
653,bellafoodie,Julie & Bella,4.2M,2.4M,313.7K,474,1.1K,4.2,2.4,0.3137,474.0,1100.0
654,guywithamoviecamera,reece,981.5K,1.4M,329K,1.1K,1.4K,0.9815,1.4,0.329,1100.0,1400.0
655,chocopla_osada,チョコレートプラネット長田(オサダ),688.4K,2.3M,107.9K,977,3.8K,0.6884,2.3,0.10790000000000001,977.0,3800.0
656,jaydafnwayda,JAYDA WAYDA,3.7M,1.6M,230.7K,1K,2.2K,3.7,1.6,0.2307,1000.0,2200.0
657,abusrwal1996,abusrwal1996,1.4M,1.7M,190.6K,2.1K,1.4K,1.4,1.7,0.1906,2100.0,1400.0
658,luara,Luara,22.6M,2.7M,185.9K,1.9K,403,22.6,2.7,0.1859,1900.0,403.0
659,cesarpantoja.n,Cesar Pantoja,14M,2.2M,347.1K,1.2K,283,14.0,2.2,0.3471,1200.0,283.0
660,islasvlogs_,Islas Vlogs,2.4M,2.9M,313.7K,842,416,2.4,2.9,0.3137,842.0,416.0
661,postmalone,Post Malone,12.8M,1.9M,176K,1.4K,2K,12.8,1.9,0.176,1400.0,2000.0
662,ana_eusse,Ana Maria,13.3M,3M,392.2K,825,141,13.3,3.0,0.3922,825.0,141.0
663,jeromepolin98,Jerome Polin,4.7M,1.5M,231.1K,2.4K,924,4.7,1.5,0.2311,2400.0,924.0
664,good.boy.ollie,Good Boy Ollie,4.2M,997.6K,250.3K,1.4K,3.2K,4.2,0.9976,0.2503,1400.0,3200.0
665,huntersolo,Hunter,2.4M,2.6M,399.4K,709,383,2.4,2.6,0.3994,709.0,383.0
666,frigerrr,Friger,828.6K,1.3M,327.9K,1.1K,1.5K,0.8286,1.3,0.32789999999999997,1100.0,1500.0
667,trungruoi93,Trung Ruồi,2.1M,3.7M,112.6K,639,2.1K,2.1,3.7,0.11259999999999999,639.0,2100.0
668,riyukabunga,RiyukaBunga,2.9M,1.9M,132.4K,2.3K,2.3K,2.9,1.9,0.13240000000000002,2300.0,2300.0
669,nildachiaraviglio,NildaChiaraviglio,1M,1.5M,78.9K,478,9.4K,1.0,1.5,0.07890000000000001,478.0,9400.0
670,dina_kalanta,Dina_Kalanta,2.5M,3.1M,243.2K,1.2K,341,2.5,3.1,0.2432,1200.0,341.0
671,foodtimecali,Juan C | RECETAS FOODTIME,4.5M,1.5M,120.1K,250,6K,4.5,1.5,0.1201,250.0,6000.0
672,magalligjimenez,AvaSkyeStrong,952K,2.8M,136.9K,2.3K,717,0.952,2.8,0.1369,2300.0,717.0
673,braceletsbyk_,kp crafts sf,274.1K,1.7M,226.1K,1.1K,1.8K,0.2741,1.7,0.2261,1100.0,1800.0
674,manja_faiez,Manja,1.1M,2.3M,142.7K,1.1K,2.3K,1.1,2.3,0.1427,1100.0,2300.0
675,firmanskd,𝙆𝙊𝘾𝘼𝙉,2.8M,1.4M,144.5K,397,5.1K,2.8,1.4,0.1445,397.0,5100.0
676,joe.bartolozzi,Joe Bartolozzi,19.8M,1.8M,293.3K,1.8K,379,19.8,1.8,0.2933,1800.0,379.0
677,itsniane,niane,1.7M,1.1M,128.9K,2K,5.9K,1.7,1.1,0.12890000000000001,2000.0,5900.0
678,melon.n.finn,Melon and Finn,1.5M,1M,213.9K,1.9K,3.3K,1.5,1.0,0.2139,1900.0,3300.0
679,khairulaming,Khairulaming,2M,1.7M,248.5K,1.2K,1.4K,2.0,1.7,0.2485,1200.0,1400.0
680,dudamaryah,dudamaryah,5.9M,2M,284.6K,701,1.3K,5.9,2.0,0.2846,701.0,1300.0
681,andresgjohnson,Andres Johnson256,4.1M,1.1M,186.4K,935,4.5K,4.1,1.1,0.1864,935.0,4500.0
682,luongthingocha,Ngân Hà🍌,6M,2.4M,286.1K,1.4K,226,6.0,2.4,0.2861,1400.0,226.0
683,gergomezzz,Ger Gomez,1.7M,1.1M,210.3K,1.3K,3.3K,1.7,1.1,0.21030000000000001,1300.0,3300.0
684,dilanjaniyar_2,Emang Dilan namanya,2.6M,1.9M,228.5K,1.9K,603,2.6,1.9,0.2285,1900.0,603.0
685,raulbazanm,RAUL,5.7M,2.2M,184K,964,1.8K,5.7,2.2,0.184,964.0,1800.0
686,tabithaswatosh,Tabs,12.5M,2.3M,362.2K,1.1K,203,12.5,2.3,0.36219999999999997,1100.0,203.0
687,iniganta,Ganta,986.8K,1.3M,160.7K,3.3K,1.9K,0.9867999999999999,1.3,0.16069999999999998,3300.0,1900.0
688,herranwalt,Herr Anwalt,5.7M,1.4M,177.7K,2.6K,1.8K,5.7,1.4,0.1777,2600.0,1800.0
689,kreebinnear,Bree Kinnear,58.4K,1.8M,307.1K,819,1.2K,0.0584,1.8,0.30710000000000004,819.0,1200.0
690,iamgeraldhuston,Gerald Huston,1.7M,1.5M,261.4K,1.3K,1.6K,1.7,1.5,0.26139999999999997,1300.0,1600.0
691,loayramadan10,🔥لؤي رمضان🔥,1.1M,2.8M,190.5K,760,1.3K,1.1,2.8,0.1905,760.0,1300.0
692,madisonbeer,Madison Beer,17.9M,1.2M,224.4K,2.7K,1.3K,17.9,1.2,0.22440000000000002,2700.0,1300.0
693,...anddy_,ANDDY 🐺🌙,1.1M,937.1K,141.9K,7.3K,792,1.1,0.9371,0.1419,7300.0,792.0
694,meqs,Minecraft,2.7M,3.1M,136K,1.1K,1.5K,2.7,3.1,0.136,1100.0,1500.0
695,charlotteless,charlotte,1.2M,2.4M,226.2K,544,1.5K,1.2,2.4,0.22619999999999998,544.0,1500.0
696,cristobalsoria,Cristóbal Soria,720.4K,1.1M,111.4K,3.8K,4.9K,0.7203999999999999,1.1,0.1114,3800.0,4900.0
697,hisoyvaleria,valeria 🖤,8.5M,1.4M,189K,1K,3K,8.5,1.4,0.189,1000.0,3000.0
698,bennyvelour,Benny Velour,326.6K,786.5K,184.4K,2.5K,4.9K,0.3266,0.7865,0.1844,2500.0,4900.0
699,carlosferiag,Carlos Feria,40.1M,2.5M,203.7K,1.9K,163,40.1,2.5,0.2037,1900.0,163.0
700,pkcreedon,Pk514,200.4K,1.4M,235.4K,1.4K,1.8K,0.2004,1.4,0.2354,1400.0,1800.0
701,loganlisle,Logan Lisle,1.8M,1.7M,78.2K,315,7.8K,1.8,1.7,0.0782,315.0,7800.0
702,sunnyjutt1296,SunNy Jutt,2.2M,2M,204.5K,1.4K,1.2K,2.2,2.0,0.2045,1400.0,1200.0
703,mealsbymitch,Mitch 🥘,1M,1.7M,95.4K,951,5.4K,1.0,1.7,0.09540000000000001,951.0,5400.0
704,patinscascavel,Vanessa Patins,3.5M,878.3K,62.4K,295,18.8K,3.5,0.8783,0.0624,295.0,18800.0
705,son_dan,Trường Sơn,1.4M,3.7M,185.1K,670,841,1.4,3.7,0.1851,670.0,841.0
706,zane,zane,6.4M,2M,323.8K,775,863,6.4,2.0,0.32380000000000003,775.0,863.0
707,didiwinx,Didi,5.2M,2M,289.7K,1.3K,575,5.2,2.0,0.2897,1300.0,575.0
708,rank.ali,رنك | Rnk,571.5K,3.1M,144.4K,1.7K,630,0.5715,3.1,0.1444,1700.0,630.0
709,farhakhalidi,Farha Khalidi,1.7M,2.2M,202.6K,1.4K,880,1.7,2.2,0.2026,1400.0,880.0
710,oli_natu,Oli Natu,10.1M,2.2M,305.3K,749,777,10.1,2.2,0.3053,749.0,777.0
711,fedez,fedez,5.8M,1.3M,229K,1.4K,2K,5.8,1.3,0.229,1400.0,2000.0
712,wei__official,위아이(WEi),1.4M,959.5K,229.6K,2.8K,1.9K,1.4,0.9595,0.2296,2800.0,1900.0
713,xuxameneghel,Xuxa,684.5K,2.3M,177.2K,1.8K,716,0.6845,2.3,0.1772,1800.0,716.0
714,jzgarcia,Jz Garcia,1.8M,969.2K,233.9K,1K,3.5K,1.8,0.9692000000000001,0.2339,1000.0,3500.0
715,blkk.1,BLK,470.5K,1.6M,237.2K,1.1K,1.6K,0.4705,1.6,0.2372,1100.0,1600.0
716,kodasteven,Steven🇵🇷,6M,1.5M,330.1K,1.3K,785,6.0,1.5,0.3301,1300.0,785.0
717,sampepper,Sam Pepper,4.2M,3.1M,227K,799,642,4.2,3.1,0.227,799.0,642.0
718,tifannylm,⚡️TEF,8.7M,2.8M,355.6K,816,222,8.7,2.8,0.3556,816.0,222.0
719,maithana9er,Maithana9er,2.1M,2.5M,96K,2.7K,1.7K,2.1,2.5,0.096,2700.0,1700.0
720,carrydisini,Carry Disini,3.3M,3.1M,274.1K,518,694,3.3,3.1,0.2741,518.0,694.0
721,lockedinout,Lockedinout,5.1M,1.6M,210.4K,883,2.1K,5.1,1.6,0.2104,883.0,2100.0
722,pipepunk,Pipepunk,1.5M,951.4K,235.2K,962,3.5K,1.5,0.9514,0.2352,962.0,3500.0
723,rapaellcug,jaeja,868.7K,923.1K,194.6K,2.4K,3.2K,0.8687,0.9231,0.1946,2400.0,3200.0
724,michaeloftiktok,michaeloftiktok,1M,1.4M,186K,1.4K,2.5K,1.0,1.4,0.186,1400.0,2500.0
725,mrnigelng,Nigel Ng (Uncle Roger),5.3M,2.1M,251.2K,621,1.3K,5.3,2.1,0.2512,621.0,1300.0
726,6footkillaa,6footkillaa,952.7K,1.6M,257.2K,1.8K,588,0.9527,1.6,0.2572,1800.0,588.0
727,haijoel,Haijoel,736.3K,4M,192.2K,1.1K,231,0.7363,4.0,0.19219999999999998,1100.0,231.0
728,esnyrrr,Esnyr,5.4M,1.6M,289.6K,778,1.4K,5.4,1.6,0.2896,778.0,1400.0
729,hairupkneesdownh0e,Ava Soto .,222.4K,1.2M,170K,3.9K,946,0.22240000000000001,1.2,0.17,3900.0,946.0
730,morganveraa,Morgan Vera,5.7M,2M,238K,1K,1.1K,5.7,2.0,0.238,1000.0,1100.0
731,laurahfritz,laura & lena,2.7M,1.3M,254.1K,1.1K,1.9K,2.7,1.3,0.2541,1100.0,1900.0
732,jdiasss_,João Dias,7.8M,1.3M,265.4K,1.8K,1.2K,7.8,1.3,0.26539999999999997,1800.0,1200.0
733,greatekyroga,u can call me sasha,1.1M,1.1M,320.3K,1.9K,1K,1.1,1.1,0.32030000000000003,1900.0,1000.0
734,jomaryee,Jomar Yee,9M,2.3M,226.7K,1.3K,626,9.0,2.3,0.22669999999999998,1300.0,626.0
735,kikakiim,Kika Kim,31.7M,1.9M,220K,1.7K,646,31.7,1.9,0.22,1700.0,646.0
